date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:37:32	761061/761061	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:31%20GMT	https://www.classcentral.com/university/spbpu	/home/mohamed/websites/final_class/www.classcentral.com/university/spbpu.html	(from https://www.classcentral.com/universities)
04:37:33	793231/793231	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:32%20GMT	https://www.classcentral.com/university/stou	/home/mohamed/websites/final_class/www.classcentral.com/university/stou.html	(from https://www.classcentral.com/universities)
04:37:34	735516/735516	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:33%20GMT	https://www.classcentral.com/university/ubuffalo	/home/mohamed/websites/final_class/www.classcentral.com/university/ubuffalo.html	(from https://www.classcentral.com/universities)
04:37:35	746256/746256	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:34%20GMT	https://www.classcentral.com/university/vanderbilt	/home/mohamed/websites/final_class/www.classcentral.com/university/vanderbilt.html	(from https://www.classcentral.com/universities)
04:37:36	305/305	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2018:16:59%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fcalarts-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=4b4b625cd6eb07aad15d9b734446e0e8	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/calarts-trn-sq4021.png	(from https://www.classcentral.com/universities)
04:37:37	6478/6478	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2019:29:06%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fcalarts-trn-sq.png?auto=format&h=80&ixlib=php-3.3.1&s=093f25c944ac43c6d90651929a542f3e	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/calarts-trn-sq5f74.png	(from https://www.classcentral.com/universities)
04:37:38	753511/753511	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:35%20GMT	https://www.classcentral.com/university/calarts	/home/mohamed/websites/final_class/www.classcentral.com/university/calarts.html	(from https://www.classcentral.com/universities)
04:37:39	748260/748260	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:38%20GMT	https://www.classcentral.com/university/hku	/home/mohamed/websites/final_class/www.classcentral.com/university/hku.html	(from https://www.classcentral.com/universities)
04:37:40	732816/732816	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:39%20GMT	https://www.classcentral.com/university/psu	/home/mohamed/websites/final_class/www.classcentral.com/university/psu.html	(from https://www.classcentral.com/universities)
04:37:41	766219/766219	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:40%20GMT	https://www.classcentral.com/university/tum	/home/mohamed/websites/final_class/www.classcentral.com/university/tum.html	(from https://www.classcentral.com/universities)
